Título do projeto;Palavras-chave;Situação;Data início;Data fim;Coordenação;Coordenador;Grupo de pesquisa;Linha de pesquisa;Área do conhecimento
Estudos para criação de vocabulário controlado sobre informação de inteligência.;"Sistema de informação; ecossitemas de informação; Gestão do conhecimento.";Em execução;2023;2025;IBICT/COTEC;Milton Shintaku;Estudos em Tecnologias para Gestão da Informação - IBICT;"(1)Estudos em usabilidade e acessibilidade de ferramentas para gestão da informação científica;
(2)Estudos com protocolos de comunicação em interoperabilidade;
(3)Estudos em sistemas de representação da informação e do conhecimento;
(4)Estudos em sistemas indexadores, descoberta e entrega;
(5)Mídias para Divulgação Científica
(6)Pesquisas em prospecção, utilização, configuração, customização em ferramentas informatizadas para gestão da informação científica;";Ciência da Informação
Ecossistema de Informação Governamental - Visão.;"RedeVírus; Arquitetura de Informação.";Em execução;2021;2025;IBICT/COTEC;Milton Shintaku;LEI - Laboratório de Ecossistemas Informacionais; Informação científica e tecnológica;Ciência da Informação
Projeto de pesquisa: Expansão da Rede Moara.;"Sistema de informação; ecossitemas de informação; Gestão do conhecimento; Repositório de código-fonte.";Em execução;2023;2025;IBICT/COTEC;Milton Shintaku;Estudos em Tecnologias para Gestão da Informação - IBICT;"(1)Estudos em usabilidade e acessibilidade de ferramentas para gestão da informação científica;
(2)Estudos com protocolos de comunicação em interoperabilidade;
(3)Estudos em sistemas de representação da informação e do conhecimento;
(4)Estudos em sistemas indexadores, descoberta e entrega;
(5)Mídias para Divulgação Científica
(6)Pesquisas em prospecção, utilização, configuração, customização em ferramentas informatizadas para gestão da informação científica;";Ciência da Informação
Implementação de ecossistema de informação para o Conselho de Desenvolvimento Econômico Social Sustentável (CDESS).;"Sistema de informação; ecossitemas de informação; Gestão do conhecimento.";Em execução;2023;2027;IBICT/COTEC;Milton Shintaku;Estudos em Tecnologias para Gestão da Informação - IBICT;"(1)Estudos em usabilidade e acessibilidade de ferramentas para gestão da informação científica;
(2)Estudos com protocolos de comunicação em interoperabilidade;
(3)Estudos em sistemas de representação da informação e do conhecimento;
(4)Estudos em sistemas indexadores, descoberta e entrega;
(5)Mídias para Divulgação Científica
(6)Pesquisas em prospecção, utilização, configuração, customização em ferramentas informatizadas para gestão da informação científica;";Ciência da Informação
Estudo e proposição de ecossistema informacional para apoio à tomada de decisão em Saúde Indígena;"Sistema de informação; Saúde indígena; Sesai; Gestão da Informação";Em execução;2023;2028;IBICT/COTEC;Milton Shintaku;Tecnologias para Construção de Observatórios;Tecnologias para Sistemas de Informação;Ciência da Informação
Proposição de modelo para estruturação do Observatório do Empreendedorismo Feminino.;"Sistema de informação; ecossitemas de informação; Gestão do conhecimento; Observatório.";Em execução;2023;2025;IBICT/COTEC;Diego José Macêdo;Tecnologias para Construção de Observatórios;Tecnologias para Sistemas de Informação;Ciência da Informação
Plataforma Informacional para o Sistema Progredir.;"Sistema de informação; ecossitemas de informação; Gestão do conhecimento.";Em execução;2021;2024;IBICT/COTEC;Diego José Macêdo;Estudos em Tecnologias para Gestão da Informação - IBICT;"(1)Estudos em usabilidade e acessibilidade de ferramentas para gestão da informação científica;
(2)Estudos com protocolos de comunicação em interoperabilidade;
(3)Estudos em sistemas de representação da informação e do conhecimento;
(4)Estudos em sistemas indexadores, descoberta e entrega;
(5)Mídias para Divulgação Científica
(6)Pesquisas em prospecção, utilização, configuração, customização em ferramentas informatizadas para gestão da informação científica;";Ciência da Informação
Proposição de modelo de referência para construção de observatórios no âmbito governamental.;"Sistema de informação; ecossitemas de informação; Gestão do conhecimento; Observatório.";Em execução;2022;2025;IBICT/COTEC;Diego José Macêdo;Tecnologias para Construção de Observatórios;Tecnologias para Sistemas de Informação;Ciência da Informação
"Modelo para Tradução de Sistema de Revistas Científicas em Libras.
";"Libras; acessibilidade.
";Finalizado;2016;2021;IBICT/DIPCT;"Ronnie Fagundes de Brito
";"Estudos em Tecnologias para Gestão da Informação
";Estudos em usabilidade e acessibilidade de ferramentas para  gestão da informação científica.;"Multidisciplinar
- Linguistica e Engenharia / Tecnologia"
Observatório sobre Cooperação Internacional para o Desenvolvimento.;"Cooperacao Internacional; Observatorio; Inteligencia de Negocios."; Finalizado;2019;2021;IBICT/DIPCT;"Ronnie Fagundes de Brito
";Estudos em Tecnologias para Gestão da Informação;"Estudos com protocolos de comunicação em interoperabilidade; Estudos em sistemas de representação da informação e do conhecimento; e Estudos em sistemas indexadores, descoberta e entrega.";Multidisciplinar - Ciências Sociais e Engenharia / Tecnologia
Aprimoramento do Observatório sobre Cooperação Internacional para o Desenvolvimento.;"Cooperacao Internacional; Observatorio; Inteligencia de Negocios.";Em execução;2024;2025;IBICT/DIPCT;Ronnie Fagundes de Brito;Estudos em Tecnologias para Gestão da Informação;"Estudos com protocolos de comunicação em interoperabilidade; Estudos em sistemas de representação da informação e do conhecimento; e Estudos em sistemas indexadores, descoberta e entrega.";Multidisciplinar - Ciências Sociais e Engenharia / Tecnologia
Plataforma Ciência em Síntese.;"Divulgação científica; Multimídia; Jogos."; Finalizado;2022;2024;IBICT/DIPCT;Ronnie Fagundes de Brito;Núcleo de Estudos em Divulgação Científica do Canal Ciência;Comunicação e Divulgação Científica;Multidisciplinar - Divulgação Científica
Gamificação da Divulgação Científica no Canal Ciência.;"Divulgação científica; Multimídia; Jogos."; Finalizado;2022;2024;IBICT/DIPCT;Ronnie Fagundes de Brito;Núcleo de Estudos em Divulgação Científica do Canal Ciência;Ciência da Aprendizagem, Serious Games e Gamificação;Multidisciplinar - Divulgação Científica
Modernização da Plataforma de Popularização e Divulgação da Ciência e Tecnologia.;"Divulgação científica; Educação científica; Popularização da ciência.";Em Execução;2022;2024;IBICT/COIND;Leda Cardoso Sampson Pinto;Núcleo de Estudos em Divulgação Científica do Canal Ciência;Comunicação e Divulgação Científica;Divulgação Científica
Estudos para gamificação da Plataforma de Popularização e Divulgação da Ciência e Tecnologia.;"Divulgação científica; Educação científica; Popularização da ciência.";Em Execução;2022;2025;IBICT/COIND;Leda Cardoso Sampson Pinto;Núcleo de Estudos em Divulgação Científica do Canal Ciência;Comunicação e Divulgação Científica;Divulgação Científica
Estudos para Modernização dos Serviços de Divulgação Científica e Popularização da Ciência do IBICT/MCTI – Clube da Ciência.;"Divulgação científica; Educação científica; Popularização da ciência.";Finalizado;2020;2023;IBICT/COIND;Leda Cardoso Sampson Pinto;Núcleo de Estudos em Divulgação Científica do Canal Ciência;Comunicação e Divulgação Científica;Divulgação Científica
Dimensionamento da força de trabalho em secretarias de saúde para a tomada de decisão em gestão do trabalho em saúde a partir da coleta, estruturação e análise de dados quantitativos e qualitativos.;"Gestão da informação sobre trabalho em saúde; coleta, estruturação e análise de dados; Gestão pública; organização da informação; sistema de informação em saúde.";Finalizado;2019;2020;IBICT/COIND ;Hélia Chaves;Laboratório de Inovação e Estratégia em Governo;"(1) Gestão da Informação;
(2) Inovação em gestão pública;
(3) Organização da informação;
(4) Sistema de informação.

";Ciência da Informação
Integração dos acervos técnicos e científicos das Bibliotecas do Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC) e das Unidades de Pesquisa e de Entidades Vinculadas.;"Biblioteca; Biblioteca especializada; Biblioteconomia; Gestão da informação; Organização da Informação.";Finalizado;2017;2019;IBICT/CGIC;Bianca Amaro;Acesso Aberto à Informação Científica;"(1) Comunicação científica; 
(2) Acesso Aberto à Informação Científica; 
(3) Revistas científicas; 
(4) Repositórios Institucionais da Produção Científica; 
(5) Bibliotecas digitais de teses e dissertações; 
(6) Direito autoral; 
(7) Ciência Aberta;
(8) Dados de pesquisa.
";"Ciência da Informação; Biblioteconomia"
Pesquisa e desenvolvimento de ações para cooperação internacional em matéria de Ciência Aberta do Instituto Brasileiro de Informação em Ciência e Tecnologia (IBICT).;"Cooperação internacional; Ciência Aberta.";Finalizado;2018;2021;IBICT/CGIC;Bianca Amaro;Acesso Aberto à Informação Científica;"(1) Comunicação científica;
(2) Acesso Aberto à Informação Científica; 
(3) Revistas científicas; 
(4) Repositórios Institucionais da Produção Científica;
(5) Bibliotecas digitais de teses e dissertações; 
(6) Direito autoral; 
(7) Ciência Aberta; 
(8) Dados de pesquisa.

";Ciência da Informação
Pesquisa e desenvolvimento para organização da informação aos novos modelos de reuso de conteúdos digitais.;"Organização da informação; Gestão da informação; Acervo cultural; Conteúdo digital.
";Finalizado;2018;2019;IBICT/CGIC;Bianca Amaro;Acesso Aberto à Informação Científica;"(1) Comunicação científica; 
(2) Acesso Aberto à Informação Científica;
(3) Revistas científicas; 
(4) Repositórios Institucionais da Produção Científica; 
(5) Bibliotecas digitais de teses e dissertações; 
(6) Direito autoral; 
(7) Ciência Aberta; 
(8) Dados de pesquisa.
";Ciência da Informação
Fortalecimento dos laboratórios Multiusuários de Metodologias de Tratamento e Disseminação da Informação e de Digitalização (MULTIBICT).;"Análise de dados; Informação científica.";Finalizado;2016;2024;IBICT/CGIC;Bianca Amaro;Acesso Aberto à Informação Científica;Ciência de Dados ;Ciência da Informação
Desenvolvimento de estudos para facilitar a navegação e análise de publicações seriadas.;"Organização da informação; Representação da informação; Biblioteconomia; Ciência da Informação.";Finalizado;2021;2023;IBICT/CGIC;Bianca Amaro;Ciência Aberta e Acesso Aberto à Informação Científica;"(1) Comunicação científica
(2) Representação da informação
(3) Organização da informação 
(4) Interoperabilidade 
(5) Bibliografia 
(6) Registros bibliográficos 
(7) Ciência da computação
(8) Engenharia de software";Ciência da Informação / Biblioteconomia
Ceos IS - Plataforma Inteligente de Coleta, Organização, Certificação, Análise e Reuso da Informação.;Desenvolvimento de metodologias de coleta, organização, geração de identificadores persistentes e certificação da informação.;Em execução ;2022;2025;IBICT / CGIC;Bianca Amaro;Ciência Aberta e Acesso Aberto à Informação Científica;"(1) Comunicação científica; 
(2) Acesso Aberto à Informação Científica;
(3) Coleta, Organização, Certificação, Análise e Reuso da Informação
(4) Dados de pesquisa.
";Ciência da Informação
Acervo digital semântico da Funarte: aplicação de novos modelos de organização e interconexão da informação dos acervos digitalizados do CEDOC – IBICT/ FUNARTE.;"Organização da informação; Gestão da informação; Acervo cultural; Conteúdo digital.";Finalizado;2019;2021;IBICT/CGIC;Washington Segundo;Acesso Aberto à Informação Científica;"(1) Comunicação científica; 
(2) Acesso Aberto à Informação Científica;
(3) Revistas científicas; 
(4) Repositórios Institucionais da Produção Científica; 
(5) Bibliotecas digitais de teses e dissertações; 
(6) Direito autoral; 
(7) Ciência Aberta; 
(8) Dados de pesquisa.
";Ciência da Informação
Acervos em Rede e Gestão da Informação do Inventário Nacional de Referências Culturais – INRC – IBICT/IPHAN.;"Organização da informação; Gestão da informação; Acervo cultural; Conteúdo digital.";Finalizado;2019;2021;IBICT/CGIC;Washington Segundo;Acesso Aberto à Informação Científica;"(1) Comunicação científica; 
(2) Acesso Aberto à Informação Científica;
(3) Revistas científicas; 
(4) Repositórios Institucionais da Produção Científica; 
(5) Bibliotecas digitais de teses e dissertações; 
(6) Direito autoral; 
(7) Ciência Aberta; 
(8) Dados de pesquisa.
";Ciência da Informação
Estudos e desenvolvimento para interoperabilidade entre sistemas de informação visando a integração e gestão de conteúdos técnico-científicos. ;"Organização da informação; Gestão da informação; Ciência Aberta; Biblioteconomia.";Finalizado;2019;2022;IBICT/CGIC;Washington Segundo;Acesso Aberto à Informação Científica;"(1) Comunicação científica; 
(2) Ciência Aberta;
(3) Organização do conhecimento; 
(4) Interoperabilidade; 
(5) Bibliografia; 
(6) Registros bibliográficos; 
(7) Representação da informação; 
";Ciência da Informação
Repositório Digital de Produção Científica das Artes e piloto de agregação de Acervos Digitais de Artes – IBICT/FUNARTE/Projeto Repositório Digital de Artes.;"Organização da informação; Gestão da informação; Acervo cultural; Conteúdo digital.";Finalizado;2021;2022;IBICT/CGIC;Washington Segundo;Acesso Aberto à Informação Científica;"(1) Comunicação científica; 
(2) Acesso Aberto à Informação Científica;
(3) Revistas científicas; 
(4) Repositórios Institucionais da Produção Científica; 
(5) Bibliotecas digitais de teses e dissertações; 
(6) Direito autoral; 
(7) Ciência Aberta; 
(8) Dados de pesquisa.
";Ciência da Informação
Análise da Informação Científica e Implementação dos Princípios FAIR sobre o Ecossistema da Pesquisa Científica no Brasil.;"Organização da informação; Gestão da informação; Conteúdo digital; Análise de dados; Informação científica.";Finalizado;2021;2023;IBICT/CGIC;Washington Segundo;Acesso Aberto à Informação Científica;"(1) Comunicação científica; 
(2) Acesso Aberto à Informação Científica;
(3) Revistas científicas; 
(4) Repositórios Institucionais da Produção Científica; 
(5) Bibliotecas digitais de teses e dissertações; 
(6) Direito autoral; 
(7) Ciência Aberta; 
(8) Dados de pesquisa.
";Ciência da Informação
Acesso às Plataformas de Computação em Nuvem da AWS (Cloud Credits for Research) - Laguna Cloud.;"Lago de dados; Computação em nuvem; Big-data; Informação em CT&I; Repositórios e bases de dados. ";Em execução ;2023;2025;IBICT/CGIC;Washington Segundo;Acesso Aberto à Informação Científica;"(1) Lago de dados ;
(2) Coleta, tratamento e análise de dados;
(3) Coleta, tratamento e análise de informações;
(4) Inteligência artificial; Internet das coisas; Materiais avançados; Biotecnologia; e Nanotecnologia
(5) Promoção, Popularização e Divulgação da Ciência, Tecnologia e Inovação
";"Ciências Exatas e da Terra; Ciência da Computação;
Ciências Sociais Aplicadas; Ciência da Informação"
Pesquisa para desenvolvimento do Repositório de Dados Científicos do CNPq. (Lattes Data).;Repositórios, Dados de Pesquisa, Interoperabilidade, Reuso de Dados de Pesquisa.;Finalizado;2019;2023;IBICT/CGIC;Washington Segundo;Acesso Aberto à Informação Científica;"(1) Comunicação científica; 
(2) Acesso Aberto à Informação Científica;
(3) Revistas científicas; 
(4) Repositórios Institucionais da Produção Científica; 
(5) Bibliotecas digitais de teses e dissertações; 
(6) Dataverse
(7) Ciência Aberta; 
(8) Dados de pesquisa.
";Ciência da Informação
Programa de fomento estratégico nas macros áreas: TIC, ECONOMIA CRIATIVA, BIOTECNOLOGIA, CIÊNCIA, GESTÃO E GOVERNO DIGITAL - FAPDF.;Ecossistema da Pesquisa Científica, Agregação e Análise de Informações Cientificas.;Em execução;2021;2024;IBICT/CGIC;Washington Segundo;Acesso Aberto à Informação Científica;"(1) TIC 
(2) Economia Criativa
(3) Biotecnologia
(4) Ciência, Gestão e Governo Digital
";"Ciências Exatas e da Terra; Ciência da Computação; Ciências Sociais Aplicadas; Ciência da Informação"
Análise da Informação Científica e Implementação dos Princípios FAIR sobre o Ecossistema da Pesquisa Científica no Brasil.;"Desenvolvimento de análises e implementação dos princípios FAIR; ecossistema de pesquisa científica brasileira (BrCris). ";Em execução;2022;2024;IBICT/CGIC;Washington Segundo;Acesso Aberto à Informação Científica;"(1) Comunicação científica; 
(2) Acesso Aberto à Informação Científica;
(3) Coleta, Organização, Certificação, Análise e Reuso da Informação
(4) Dados de pesquisa.
";Ciência da Informação
Inteligência artificial e Ciência de Dados aplicadas ao tratamento, uso e geração de serviços a partir dos acervos bibliográficos científicos e técnicos.;"Organização da informação; Representação da informação; Biblioteconomia; Ciência da Informação.";Em execução;2021;2025;IBICT / COBIB;Washington Segundo;Laboratório de estudos e práticas em Organização da Informação e Tecnologias (LOITec);"(1) Comunicação científica
(2) Representação da informação
(3) Organização da informação 
(4) Interoperabilidade 
(5) Registros bibliográficos 
(6) Ciência de dados
(7) Ciência da computação
(8) Engenharia de software";Ciência da Informação / Biblioteconomia
BIBI: Bibliotecas Inteligentes para uma Brasília Inteligente.;Inclusão Social, digital e informacional.;Em execução;2022;2025;IBICT / COBIB;Washington Segundo;Laboratório de estudos e práticas em Organização da Informação e Tecnologias (LOITec);Bibliotecas humanas, inteligentes, criativas e sustentáveis;Ciência da Informação / Biblioteconomia
MetaBibLink: metadados semânticos para o acervo da biblioteca “Lydia de Queiroz Sambaquy”.;"Organização da informação; Gestão da informação; Conteúdo digital; Análise de dados; Informação científica.";Em execução;2023;2025;IBICT /COBIB;Washington Segundo;Laboratório de estudos e práticas em Organização da Informação e Tecnologias (LOITec);"Dados bibliográficos e metadados; Inteligência artificial e catálogos";Ciência da Informação / Biblioteconomia
Transformação Digital do Centro Brasileiro do ISSN (CBISSN).;"Organização da informação; Gestão da informação; Conteúdo digital; Análise de dados; Informação científica.";Em execução;2023;2025;IBICT /COBIB;Washington Segundo;Laboratório de estudos e práticas em Organização da Informação e Tecnologias (LOITec);"Dados bibliográficos e metadados; Inteligência artificial e catálogos";Ciência da Informação / Biblioteconomia
"Estudo para revitalização da biblioteca ""Lydia de Queiroz Sambaquy"".";"Organização da informação; Gestão da informação; Conteúdo digital; Análise de dados; Informação científica.";Em execução;2023;2025;IBICT / COBIB;Washington Segundo;Laboratório de estudos e práticas em Organização da Informação e Tecnologias (LOITec);"Dados bibliográficos e metadados; Inteligência artificial e catálogos; Bibliotecas humanas, inteligentes, criativas e sustentáveis";Ciência da Informação
Inteligência Artificial para Transcrição Paleográfica de Manuscritos.;Inteligência Artificial, Paleografia, HTR.;Em Execução;2023;2024;IBICT/COPAV;Henrique Denes Hilgenberg Fernandes;LEI - Laboratório de Ecossistemas Informacionais;Aprendizado de máquina;Ciência da Informação
Métricas para a Ciência: Indicadores.;Cientometria, Altmetria, Indicadores.;Em Execução;2024;2025;IBICT/COPAV;Henrique Denes Hilgenberg Fernandes;LEI - Laboratório de Ecossistemas Informacionais;Sociologia da Ciência;Ciência da Informação
Avaliação da divulgação científica pelo estudo do fluxo das menções altmétricas em ciência da informação.;Cientometria, Altmetria, Fluxo da Informação.;Em Execução;2024;2026;IBICT/COPAV;Henrique Denes Hilgenberg Fernandes;LEI - Laboratório de Ecossistemas Informacionais;Comunicação Científica;Ciência da Informação
LABMULT - Laboratório Multiusuário de Informação.;Ciência dos dados, Repositórios, Lago de Dados.;Em Execução;2024;2026;IBICT/COPAV;Henrique Denes Hilgenberg Fernandes;LEI - Laboratório de Ecossistemas Informacionais;Ciência dos dados;Ciência da Informação
Estudo para Consolidação do Planejamento Institucional do Instituto Brasileiro de Informação em Ciência e Tecnologia (Ibict) a partir da avaliação do Plano Diretor 2018-2022.;Ciência da Informação.;Em Execução;2024;2025;IBICT/COPAV;Henrique Denes Hilgenberg Fernandes;LEI - Laboratório de Ecossistemas Informacionais;Ciência da Informação;Ciência da Informação
Inovação na Divulgação Científica: estratégias de fortalecimento e expansão a partir das pesquisas aplicadas do Ibict.;Impacto social das pesquisas aplicadas do Ibict, práticas de Ciência Aberta, plataformas digitais e serviços informacionais.;Em Execução;2024;2027;IBICT/CGIT;Cecília Leite;Divulgação cientifica como instrumento de transformação social;"Políticas Públicas para a Inclusão Digital ; Inovação na Divulgação Científica: estratégias de fortalecimento e expansão a partir das pesquisas aplicadas do Ibict";"Ciência da Informação; Ciências Sociais Aplicadas"
Modernização do SICV Brasil.;SICV Brasil, Inventários do Ciclo de Vida, Avaliação do Ciclo de Vida, Sustentabilidade.;Em Execução;2024;2026;IBICT/COTEA;Silvana Vidotti;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação para sustentabilidade;Interdisciplinar (Ciências exatas e da terra, Ciências Biológicas, Ciências Agrárias, Ciências Sociais Aplicadas e Engenharias)
CicloData - Base de Dados Chilena de ACV.;Ciclo de Vida, Base de Dados, Inventários do Ciclo de Vida, Chile.;Em Execução;2024;2026;IBICT/COTEA;Silvana Vidotti;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação para sustentabilidade;Interdisciplinar (Ciências exatas e da terra, Ciências Biológicas, Ciências Agrárias, Ciências Sociais Aplicadas e Engenharias)
Eco-Advance - Rotulagem Ambiental e Compras Públicas.;Rotulagem Ambiental, Compras Públicas Sustentáveis.;Em Execução;2022;2026;IBICT/COTEA;Silvana Vidotti;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação para sustentabilidade;Interdisciplinar (Ciências exatas e da terra, Ciências Biológicas, Ciências Agrárias, Ciências Sociais Aplicadas e Engenharias)
Modernização da Informação Tecnológica.;Sustentabilidade, avaliação do ciclo de vida, inventários, banco de dados.;Em Execução;2022;2024;IBICT/COTEA;Silvana Vidotti;LIS - Laboratório de Informação para a Sustentabilidade;Informação e Sociedade;Ciência da Informação
Modernização do SICV.;Sustentabilidade, avaliação do ciclo de vida, inventários, banco de dados.;Em Execução;2022;2024;IBICT/COTEA;Silvana Vidotti;LIS - Laboratório de Informação para a Sustentabilidade; Informação científica e tecnológica;Ciência da Informação
Informação para sustentabilidade dos usos e serviços sociobioeconômicos da biodiversidade brasileira;"Informação para sustentabilidade; uso sustentável; serviços ambientais; serviços ecossistêmicos; economia verde; sociobioeconomia";Em execução;2024;2026;IBICT/COTEA;Wagner Fischer;LIS - Laboratório de Informação para a Sustentabilidade;"(i) Pesquisa e gestão da informação para sustentabilidade; 
(ii) Pesquisa, desenvolvimento e inovação aplicados à sustentabilidade; 
(iii) Economia verde/economia dos recursos naturais/sociobioeconomia; 
(iv) Manejo e uso sustentável de recursos naturais; 
(v) Conservação da biodiversidade.";"Ciência da Informação, Ecologia Aplicada (Conservação); Economia dos Recursos Naturais; Divulgação Científica (Multidisciplinar)"
Sistema de Informação Tecnológica e Tecnologia Social: construindo Soluções Informacionais para Circuitos Curtos de Comercialização de Cestas de Produtos da Reforma Agrária;"Informação Tecnológica para o Setor Produtivo; Tecnologia Social; Informação e Tecnologia Social; Economia Solidária; Sistema Integrado de Gestão Empresarial para Movimentos Sociais";Em execução;2024;2025;IBICT/COEPI;Andreia Ingrid Michele do Nascimento;INSUMO - Informação para Inovação, Sustentabilidade e Monitoramento ;"(i) Informação para Sustentabilidade e;
(ii) Infraestruturas informacionais";"Ciência da Informação; Desenvolvimento Econômico; Tecnologia Social (Multidisciplinar)"
